Live attendance - Pacific Summer High School Institute,,,,,,,,,
"Jun 1, 2026 3:01 PM",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Participant,Date,Status,Attendance Status,Program,Check in,Check out,Checked in by,Picked up by,Participant external ID
john johnson 1,06/01/2026,Checked in/Not checked out,Absent,"Be an Influencer, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510007424,6800609d7964105b06c102b8
john johnson 2,06/01/2026,Checked in/Not checked out,,"Eiselen House 1, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510007424,6800609d7964105b06c102b8
john johnson 3,06/01/2026,Checked in/Not checked out,Present,"Medical Microbiology Experience, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510008770,69f14251bd145b66dc254a32
john johnson 4,06/01/2026,Checked in/Not checked out,,"Grace Covell Hall 1, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510008770,69f14251bd145b66dc254a32
john johnson 5,06/01/2026,Checked in/Not checked out,,"Jessie Ballantyne Hall 3, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510008442,69bb5c49a64d9cd3046c3ebf
john johnson 6,06/01/2026,Checked in/Not checked out,Present,"Competitive Debate, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510008442,69bb5c49a64d9cd3046c3ebf
john johnson 7,06/01/2026,Checked in/Not checked out,Present,"Soccer Skills and Tactics, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510008247,69a657870a7b08f177ecc9b6
john johnson 8,06/01/2026,Checked in/Not checked out,,"Price House 2, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510008247,69a657870a7b08f177ecc9bc
john johnson 9,06/01/2026,Checked in/Not checked out,,"Grace Covell Hall 3, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510007752,697cefcba92865f97e4bcd14
john johnson 10,06/01/2026,Checked in/Not checked out,Present,"Computer Drawing and Drafting, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510007752,697cefcba92865f97e4bcd14
john johnson 11,06/01/2026,Checked in/Not checked out,Absent,"Become the Best Teacher or Coach, Jun 1, 2026(12:00 AM - 11:55 PM)",2:53 pm,,bsztaray@pacific.edu,510008356,69b6460b2814d3df716c2877
john johnson 12,06/01/2026,Checked in/Not checked out,,"Casa Jackson 3, Jun 1, 2026(12:00 AM - 11:55 PM)",2:53 pm,,bsztaray@pacific.edu,510008356,69b6460b2814d3df716c2877
john johnson 13,06/01/2026,Checked in/Not checked out,,"Police Cadet Academy, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510007898,67663ba8b211d6b161f6ac11
john johnson 14,06/01/2026,Checked in/Not checked out,,"John Ballantyne Hall 3, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510007898,67663ba8b211d6b161f6ac11
john johnson 15,06/01/2026,Checked in/Not checked out,Present,"Taking Control of Your Financial Future, Jun 1, 2026(12:00 AM - 11:55 PM)",2:49 pm,,bsztaray@pacific.edu,510008724,682cd00c980b2b40d8970de8
