Participant information: First name,Participant information: Last name,Participant information: Gender,Participant information: Student cell phone,Participant information: Residence hall,Participant information: Room number,Contact information: Student’s phone number,Parent/guardian information: First name,Parent/guardian information: Last name,Parent/guardian information: Primary phone,Parent/guardian information: Relationship,Parent/guardian information: Parent/guardian primary language,Parent/guardian 2 information: First name,Parent/guardian 2 information: Last name,Parent/guardian 2 information: Relationship,Parent/guardian 2 information: Parent/guardian cell phone,Parent/guardian 2 information: Parent/guardian primary language,Photo upload and roommate request: Pacific id: Your pacific id,Program,Schedule,Tuition,Participant ID,Participant external ID
John1,johnson2,Female,209-399-0982,Grace Covell Hall 1,GCH-0159B,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,698b715f6a1dc335f458b1fb,510007884
John2,johnson3,Male,,,,2097402267,John3,johnson4,,Mother,English,John3,johnson4,Other,5103759552,English,510007878,Drone Flying,Session 1,Tracy USD Sponsored,663c5d96212fb0ef6a7d5686,510007878
John3,johnson4,Female,916-271-0990,Casa Werner 3,CWA-0311A,,,,,,,,,,,,,Casa Werner 3,Session 1,Housing,697c27ae1b410fdd9af56737,510007639
John4,johnson5,Female,510-565-9801,Eiselen House 3,EIS-0316B,,,,,,,,,,,,,Eiselen House 3,Session 1,Housing,698c1e8f075437f1eef2ff28,510007903
John5,johnson6,Female,209-302-1426,Grace Covell Hall 2,GCH-0260A,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,697c48531b410fdd9af56f83,510007722
John6,johnson7,Female,209-670-4048,Casa Jackson 2,CJK-0204A,,,,,,,,,,,,,Casa Jackson 2,Session 1,Housing,6969c0fe230656ffd166e491,510007252
John7,johnson8,Female,2096594972,Casa Jackson 1,CJK-0106B,,,,,,,,,,,,,Casa Jackson 1,Session 1,Housing,694ed192cf2b10cc519ebd63,510007033
John8,johnson9,Female,2092924277,Grace Covell Hall 1,GCH-0114B,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,6a168cf5b00dd47abb13854f,510008923
John9,johnson10,Male,4154180365,Grace Covell Hall 3,GCH-0388B,,,,,,,,,,,,,Grace Covell Hall 3,Session 1,Housing,6a0e41fdd137865a8b3c6947,510008895
John10,johnson11,Female,2097922195,Grace Covell Hall 1,GCH-0183A,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,6a0dda6b0a2636c2d088f70b,510008892
John11,johnson12,Male,2094290758,Wemyss Hall 2,WEM-0200A,,,,,,,,,,,,,Wemyss Hall 2,Session 1,Housing,65712aea512cfea5d24c820f,510008887
John12,johnson13,Male,2094803678,Wemyss Hall 1,WEM-0108A,,,,,,,,,,,,,Wemyss Hall 1,Session 1,Housing,663ac9d42a42c7c97377176d,510008926
John13,johnson14,Female,2099387674,Jessie Ballantyne Hall 3,JEB-0309C,,,,,,,,,,,,,Jessie Ballantyne Hall 3,Session 1,Housing,6a07d060306ca18922c80786,510008873
John14,johnson15,Female,2092357357,Grace Covell Hall 1,GCH-0174B,,,,,,,,,,,,,Grace Covell Hall 1,Session 1,Housing,6a07cd66af521bea2680b151,510008872
John15,johnson16,Male,2096871065,Farley House 2,FAR-0213B,,,,,,,,,,,,,Farley House 2,Session 1,Housing,6a07abe366035379435d5a60,510008869
John16,johnson17,Male,5053946581,Price House 1,PRH-0110A,,,,,,,,,,,,,Price House 1,Session 1,Housing,6a04b997747ba6a9a8968bb3,510008855
John17,johnson18,Female,2092905769,Grace Covell Hall 2,GCH-0255B,,,,,,,,,,,,,Grace Covell Hall 2,Session 1,Housing,69f13770d37070b2eb39fbc9,510008852
